Title,Company,Location,Salary Min,Salary Max,URL
Lead .Net Engineer,Experian,"Nottingham, Nottinghamshire",50920.96,50920.96,https://www.adzuna.co.uk/jobs/details/5708344111?utm_medium=api&utm_source=d065aea6
Client Manager,LHH Recruitment Solutions,"Nottingham, Nottinghamshire",40000,50000,https://www.adzuna.co.uk/jobs/land/ad/5683197675?se=jL0RTdk_8RGB16vuAAjz3Q&utm_medium=api&utm_source=d065aea6&v=ED1CFF6A7308ADF50B293BF975D524344B6B693B
"Senior Developer (£44,241- £58,997)",Government Recruitment Service,"Nottingham, Nottinghamshire",14756,44241,https://www.adzuna.co.uk/jobs/details/5695797725?utm_medium=api&utm_source=d065aea6
Full Stack Developer,Oscar Technology,"Nottingham, Nottinghamshire",45000,55000,https://www.adzuna.co.uk/jobs/land/ad/5693478429?se=jL0RTdk_8RGB16vuAAjz3Q&utm_medium=api&utm_source=d065aea6&v=6F89211B642E365C5440EAEFF54442037698633E
Corporate Tax Manager,LHH Recruitment Solutions,"Nottingham, Nottinghamshire",53000,63000,https://www.adzuna.co.uk/jobs/land/ad/5705326442?se=jL0RTdk_8RGB16vuAAjz3Q&utm_medium=api&utm_source=d065aea6&v=C79FDA6EF8856C6C6D5FD49EB48E26F20A3C53E3
Senior Civil Design Engineer,Calibre Search,"Sneinton, Nottingham",42000,58000,https://www.adzuna.co.uk/jobs/details/5706946078?utm_medium=api&utm_source=d065aea6
"Clinical Negligence Principal Associate  Top Tier Firm Nottingham  £70,000",QED Legal,"Bestwood Village, Nottingham",78668.86,78668.86,https://www.adzuna.co.uk/jobs/land/ad/5693220105?se=jL0RTdk_8RGB16vuAAjz3Q&utm_medium=api&utm_source=d065aea6&v=27300F731566B6439A55ADE6988F5675AC3A8693
Building Services Design Engineer (Mechanical),Vantage Consulting,"Nottingham, Nottinghamshire",30000,50000,https://www.adzuna.co.uk/jobs/details/5702717794?utm_medium=api&utm_source=d065aea6
"Finance Manager, Controls and Accounting",Michael Page Finance,"Nottingham, Nottinghamshire",60000,65000,https://www.adzuna.co.uk/jobs/land/ad/5680768275?se=jL0RTdk_8RGB16vuAAjz3Q&utm_medium=api&utm_source=d065aea6&v=87876CFE0ABBB3D92B3D75D3B09560A2CE89E0C7
Mid-Senior Healthcare Professional,Hire Resolve.com,"Nottingham, Nottinghamshire",40000,70000,https://www.adzuna.co.uk/jobs/details/5571363666?utm_medium=api&utm_source=d065aea6
